,15m,100m,150m,200m
n,24.0,24.0,24.0,24.0
wdir_rmse,84.5999984741211,84.58999633789062,67.04000091552734,76.8499984741211
wdir_rmse_r,47.0,47.0,37.25,42.689998626708984
wdir_mae,61.650001525878906,69.55999755859375,52.47999954223633,59.16999816894531
wspd_rmse,1.3300000429153442,1.1200000047683716,1.0299999713897705,1.2200000286102295
wspd_mae,1.0399999618530273,0.9700000286102295,0.8500000238418579,1.0199999809265137
wspd_mbe,-0.38999998569488525,-0.7400000095367432,-0.5400000214576721,-0.47999998927116394
