,15m,100m,150m,200m
n,189.0,174.0,170.0,168.0
wdir_rmse,64.76000213623047,73.11000061035156,69.91999816894531,76.61000061035156
wdir_rmse_r,35.97999954223633,40.619998931884766,38.849998474121094,42.560001373291016
wdir_mae,44.790000915527344,53.0,51.54999923706055,57.86000061035156
wspd_rmse,1.3600000143051147,1.6299999952316284,1.5399999618530273,2.109999895095825
wspd_mae,1.059999942779541,1.1399999856948853,1.1399999856948853,1.4800000190734863
wspd_mbe,-0.1899999976158142,-0.4099999964237213,-0.33000001311302185,-0.5299999713897705
